#,tree#,Subplot #<E-W>,Subplot #<S-N>,X (E-W) (m),Y (S-N) (m),Species,DBH_2010 (cm),TreeHeight_2010 (m),Canopy projection (cm)_2010_N,Canopy projection (cm)_2010_W,Canopy projection (cm)_2010_S,Canopy projection (cm)_2010_E,Lowest foliage height_2010 (m),DBH2014 (cm),TreeHeight_2014 (m)
276,J277,2,3,11.3,29.17,Picea mariana,5.3,4.17,71,62,61,D56/L50,0.9,5.7,4.34
277,J278,2,3,11.8,28.48,Picea mariana,2.6,2.51,NA,NA,NA,NA,NA,2.7,2.69
278,J279,2,3,10.9,26.78,Picea mariana,1,1.51,NA,NA,NA,NA,NA,2,1.68
279,J280,2,3,12.3,26.83,Picea mariana,3.1,2.85,NA,NA,NA,NA,NA,3.5,2.98
280,J281,2,3,16,29.47,Picea mariana,1.1,1.55,NA,NA,NA,NA,NA,1.3,1.57
281,J282,2,3,16.3,29.29,Picea mariana,0.9,1.52,NA,NA,NA,NA,NA,0.9,1.5
282,J283,2,3,16.1,28.51,Picea mariana,0.7,1.47,NA,NA,NA,NA,NA,0.9,1.45
283,J284,2,3,16.8,27.82,Picea mariana,2.9,1.87,NA,NA,NA,NA,NA,2,1.92
284,J285,2,3,17.5,29.62,Picea mariana,3.9,3.8,NA,NA,NA,NA,NA,3.8,3.86
285,J286,2,3,17.6,29.01,Picea mariana,NA,1.37,NA,NA,NA,NA,NA,NA,1.38
286,J287,2,3,17.7,28.51,Picea mariana,1.5,1.87,NA,NA,NA,NA,NA,1.6,1.71
287,J288,2,3,17.4,27.84,Picea mariana,1,1.67,NA,NA,NA,NA,NA,1.1,1.55
288,J289,2,3,19,28.3,Picea mariana,3.4,3.06,NA,NA,NA,NA,NA,3.7,3.19
289,J290,2,3,19.1,29.47,Picea mariana,1.6,1.7,NA,NA,NA,NA,NA,1.6,1.79
290,J291,3,3,20.4,29.27,Picea mariana,3.7,3.07,NA,NA,NA,NA,NA,4.1,3.34
291,J292,3,3,20.5,28.33,Picea mariana,2.8,2.29,NA,NA,NA,NA,NA,2.8,2.24
292,J293,2,3,19.6,26.22,Picea mariana,2.7,2.44,NA,NA,NA,NA,NA,2.8,2.39
293,J294,2,3,17.7,26.85,Picea mariana,2.3,2.28,NA,NA,NA,NA,NA,2.6,2.3
294,J295,2,3,18.1,25.97,Picea mariana,NA,1.31,NA,NA,NA,NA,NA,0.8,1.35
295,J296,2,3,18,26.65,Picea mariana,0.6,1.41,NA,NA,NA,NA,NA,1,1.45
296,J297,2,3,18.7,25.28,Picea mariana,2.7,2.54,NA,NA,NA,NA,NA,3,2.65
297,J298,2,3,18.7,25.25,Picea mariana,1.7,1.87,NA,NA,NA,NA,NA,1.9,1.98
298,J299,2,3,18.3,24.5,Picea mariana,1.4,1.69,NA,NA,NA,NA,NA,1.6,1.79
299,J300,2,3,19.4,22.16,Picea mariana,3,2.65,NA,NA,NA,NA,NA,3.3,2.77
300,J301,2,3,17.7,20.69,Picea mariana,1.9,2.15,NA,NA,NA,NA,NA,2.3,2.24
301,J302,2,3,16.3,22.51,Picea mariana,3.1,2.59,NA,NA,NA,NA,NA,3.4,2.69
302,J303,2,3,16.2,23.12,Picea mariana,0.5,1.38,NA,NA,NA,NA,NA,0.8,1.46
303,J304,2,3,15.8,23.35,Picea mariana,4.3,4.29,NA,NA,NA,NA,NA,4.7,4.34
304,J305,2,3,15.9,23.96,Picea mariana,NA,1.33,NA,NA,NA,NA,NA,NA,1.31
305,J306,2,3,11.9,23.63,Picea mariana,0.6,1.54,NA,NA,NA,NA,NA,1.5,1.7
306,J307,3,3,21.2,20.46,Picea mariana,1.1,1.51,NA,NA,NA,NA,NA,1.2,1.78
307,J308,3,3,21.3,20.61,Picea mariana,2.5,2.78,NA,NA,NA,NA,NA,3,2.95
308,J309,3,3,21.7,20.43,Picea mariana,3.9,3.49,NA,NA,NA,NA,NA,4.2,3.66
309,J310,3,3,23.6,20.13,Picea mariana,1.9,2.18,NA,NA,NA,NA,NA,2.1,2.36
310,J311,3,3,24,20.53,Picea mariana,4.8,4.14,NA,NA,NA,NA,NA,5.3,4.37
311,J312,3,3,25.7,21.3,Alnus rugosa,0.3,1.42,NA,NA,NA,NA,NA,0.6,1.64
312,J313,3,3,28.7,20,Picea mariana,3.9,3.09,NA,NA,NA,NA,NA,4.1,3.38
313,J314,3,3,29.2,20.13,Picea mariana,1.4,1.9,NA,NA,NA,NA,NA,1.4,1.91
314,J315,3,3,29.5,20.23,Picea mariana,7.6,6.4,42,55,48,NA,1.2,7.9,7.8
315,J316,3,3,29.8,20.43,Picea mariana,2.1,1.93,NA,NA,NA,NA,NA,2.3,1.88
316,J317,3,3,29.6,21.4,Picea mariana,3,3.51,NA,NA,NA,NA,NA,3,3.45
317,J318,3,3,29.6,21.55,Picea mariana,2.3,2.61,NA,NA,NA,NA,NA,2.5,2.69
318,J319,3,3,29,22.51,Picea mariana,2,2.01,NA,NA,NA,NA,NA,1.8,1.99
319,J320,3,3,28.9,22.44,Picea mariana,5,4.22,NA,NA,NA,NA,NA,5.4,4.34
320,J321,3,3,28.8,22.46,Picea mariana,4.3,3.63,NA,NA,NA,NA,NA,4.1,3.66
321,J322,3,3,28.7,22.34,Picea mariana,2.4,2.22,NA,NA,NA,NA,NA,2.5,2.36
322,J323,3,3,28.7,22.49,Picea mariana,2.8,2.67,NA,NA,NA,NA,NA,3.3,2.79
323,J324,3,3,26.4,24.27,Picea mariana,5.1,5,NA,NA,NA,NA,NA,5.4,5.4
324,J325,3,3,26.2,24.19,Picea mariana,NA,1.36,NA,NA,NA,NA,NA,NA,1.45
325,J326,3,3,26,24.17,Picea mariana,4.2,3.89,NA,NA,NA,NA,NA,4.3,4.04
326,J327,3,3,26.3,23.63,Picea mariana,2.5,2.52,NA,NA,NA,NA,NA,2.7,2.63
327,J328,3,3,26.6,23.12,Picea mariana,3.7,3.58,NA,NA,NA,NA,NA,3.8,3.61
328,J329,3,3,26.3,23.3,Picea mariana,2.4,2.46,NA,NA,NA,NA,NA,3.1,2.51
329,J330,3,3,25.8,23.07,Picea mariana,2.9,3.11,NA,NA,NA,NA,NA,3.2,3.16
330,J331,3,3,25.6,22.51,Picea mariana,5.7,5,NA,NA,NA,NA,NA,6.1,5.4
331,J332,3,3,25.6,22.26,Picea mariana,4.7,4.24,NA,NA,NA,NA,NA,5.2,4.19
332,J333,3,3,23.7,23.81,Picea mariana,4.1,4.09,NA,NA,NA,NA,NA,4.5,4.14
333,J334,3,3,21.9,23.07,Picea mariana,NA,1.36,NA,NA,NA,NA,NA,1.2,1.6
334,J335,3,3,21.2,25.25,Picea mariana,1.6,1.82,NA,NA,NA,NA,NA,1.9,1.93
335,J336,3,3,20.9,26.02,Picea mariana,1.6,1.78,NA,NA,NA,NA,NA,1.7,1.96
336,J337,3,3,21.3,25.05,Picea mariana,5.4,4.01,NA,NA,NA,NA,NA,5.7,3.99
337,J338,3,3,21.6,25.91,Picea mariana,2.6,2.55,NA,NA,NA,NA,NA,2.9,2.46
338,J339,3,3,22.2,25.66,Picea mariana,2.9,2.51,NA,NA,NA,NA,NA,3.2,2.54
339,J340,3,3,22.3,24.52,Picea mariana,0.5,1.39,NA,NA,NA,NA,NA,0.7,1.49
340,J341,3,3,22.5,24.7,Picea mariana,1,1.55,NA,NA,NA,NA,NA,1.5,1.69
341,J342,3,3,23.1,25,Picea mariana,1.2,1.5,NA,NA,NA,NA,NA,1.6,1.61
342,J343,3,3,23.1,25.84,Picea mariana,3.7,3.35,NA,NA,NA,NA,NA,4.2,3.48
343,J344,3,3,28.4,25.25,Picea mariana,6,4.17,NA,NA,NA,NA,NA,6,4.42
344,J345,3,3,29.4,25.46,Picea mariana,1.9,2.13,NA,NA,NA,NA,NA,2.2,2.13
345,J346,3,3,29.6,25.64,Picea mariana,2.9,3.05,NA,NA,NA,NA,NA,2.9,3.15
346,J347,3,3,29.5,26.07,Picea mariana,2.6,2.37,NA,NA,NA,NA,NA,3,2.5
347,J348,3,3,29.4,27.26,Picea mariana,5,3.82,NA,NA,NA,NA,NA,5.2,3.96
348,J349,3,3,29.3,28.4,Picea mariana,0.8,1.49,NA,NA,NA,NA,NA,1.2,1.63
349,J350,3,3,28.3,29.01,Picea mariana,5.4,5,NA,NA,NA,NA,NA,5.6,5.4
350,J352,3,3,25.5,27.67,Picea mariana,1.9,2.03,NA,NA,NA,NA,NA,2.6,2.21
351,J353,3,3,24.7,27.08,Picea mariana,4.7,3.91,NA,NA,NA,NA,NA,4.8,4.04
352,J354,3,3,24.3,26.32,Picea mariana,1.2,1.75,NA,NA,NA,NA,NA,1.8,1.87
353,J355,3,3,23.1,26.85,Picea mariana,3.1,2.92,NA,NA,NA,NA,NA,3.4,3
354,J356,3,3,22.4,27.29,Picea mariana,3.3,2.86,NA,NA,NA,NA,NA,3.7,2.92
355,J357,3,3,21.5,27.39,Picea mariana,NA,1.33,NA,NA,NA,NA,NA,NA,1.41
356,J358,3,3,20.7,27.95,Picea mariana,0.8,1.52,NA,NA,NA,NA,NA,1.1,1.59
357,J359,3,3,22.2,28.96,Picea mariana,0.3,1.35,NA,NA,NA,NA,NA,0.8,1.45
358,J360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA
359,J426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,NA
360,J427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA
361,J428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA
362,J429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA
363,J430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA
364,J431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,NA
365,J432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA
366,J433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,J434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA
368,J435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,NA
369,J436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,1.49
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
