doy, value
3.1671712942086003, 0.4624721720342654
10.191071313534763, 0.4622738039678417
17.214971332860927, 0.4618109451461864
24.23887135218709, 0.4608852275028759
31.262771371513253, 0.460819104814068
38.286671390839416, 0.4598272644819496
45.31057141016558, 0.45923216028267855
52.33447142949174, 0.4580419518841365
59.358371448817906, 0.4579097065065207
66.38227146814407, 0.4572484796184417
73.40617148747023, 0.456455007352747
80.4300715067964, 0.4563888846639391
87.45397152612253, 0.4552647989542049
94.47787154544869, 0.4550003081989733
101.50177156477486, 0.4540084678668549
108.52567158410102, 0.45285793308159755
112.99542614185404, 0.442198955645765
112.99542614185404, 0.4263912248414244
113.47432841589901, 0.408268097883994
114.59176705533727, 0.38796292219590306
115.23030342073054, 0.36662733460722247
115.8049861495845, 0.34793445048123073
116.82664433421377, 0.32727772249764453
117.46518069960706, 0.3078938562736103
118.26335115634865, 0.2888009298803308
118.74225343039362, 0.2714657649645278
119.16794434065582, 0.25206977624754545
122.2542034400567, 0.20406470417301414
122.57347162275335, 0.18588096475084315
122.41383753140502, 0.16951559927088933
123.59512980738262, 0.1516955346371618
124.16981253623658, 0.13205709606121718
124.7444952650905, 0.11256412740064992
125.76615344971978, 0.0932651186272524
126.24505572376475, 0.07338423019234563
127.22566514204729, 0.052182237423909594
132.15151710365265, 0.043452693058638636
139.1754171229788, 0.04464290145718086
146.19931714230498, 0.04477514683479655
153.22321716163114, 0.045436373722875456
160.2471171809573, 0.04622984598857027
167.27101720028347, 0.04622984598857027
174.29491721960963, 0.04708944094307288
181.3188172389358, 0.04708944094307288
188.34271725826196, 0.04768454514234399
195.36661727758812, 0.047816790519959684
202.39051729691428, 0.04854414009684649
209.66983186239773, 0.05066667840757999
216.4383173355666, 0.051784151848433435
223.46221735489277, 0.051321293026778125
230.48611737421894, 0.05244537873651234
237.5100173935451, 0.05257762411412814
244.53391741287126, 0.05304048293578334
251.55781743219742, 0.05363558713505445
258.58171745152356, 0.05449518208955706
265.6056174708498, 0.05495804091121237
272.6295174901759, 0.05509028628882806
279.6534175095021, 0.056346617376178076
286.6773175288282, 0.057021068802018626
291.3295110481222, 0.07199880242684686
293.31809572891837, 0.09758072611678104
294.7228757327837, 0.11736463460810298
296.57463119242414, 0.13945181675956664
298.4263866520647, 0.1628967181212191
299.8311666559299, 0.18355344610480528
301.49136120595256, 0.2031918846807499
304.42862848676157, 0.23883201394820497
306.1526766733235, 0.26273757004188575
308.004432132964, 0.2837822177998116
309.3453585002899, 0.30171138487007215
310.6862848676159, 0.32003332071185164
312.47418669071703, 0.34095189454311714
313.87896669458223, 0.3614631526113259
315.95877085614893, 0.3834083284168259
321.1582812600657, 0.4005152126212683
328.1821812793919, 0.41215280585145775
335.206081298718, 0.42438550328091823
342.2299813180442, 0.437014936843226
349.25388133737033, 0.44878477545103124
356.27778135669655, 0.46055461405883646
362.982413193326, 0.4717293484673706
