Year;Month;Day;Hour;Minute;Tair;RH;Prec;Snowdepth
2013;1;2;19;0;-6.20000;95.00000;0.00000;0.48000
2013;1;2;19;30;-6.10000;95.00000;0.00000;0.48000
2013;1;2;20;0;-6.00000;95.00000;0.00000;0.48000
2013;1;2;20;30;-5.90000;95.00000;0.00000;0.48000
2013;1;2;21;0;-6.00000;95.00000;0.00000;0.48000
2013;1;2;21;30;-6.10000;95.00000;0.00000;0.48000
2013;1;2;22;0;-6.10000;95.00000;0.00000;0.48000
2013;1;2;22;30;-6.10000;95.00000;0.00000;0.48000
2013;1;2;23;0;-6.10000;95.00000;0.00000;0.48000
2013;1;2;23;30;-6.00000;95.00000;0.00000;0.48000
2013;1;3;0;0;-5.90000;95.00000;0.00000;0.48000
2013;1;3;0;30;-5.80000;95.00000;0.00000;0.48000
2013;1;3;1;0;-5.60000;95.00000;0.00000;0.48000
2013;1;3;1;30;-5.50000;95.00000;0.00000;0.48000
2013;1;3;2;0;-5.50000;95.00000;0.00000;0.48000
2013;1;3;2;30;-5.30000;95.00000;0.00000;0.48000
2013;1;3;3;0;-5.20000;95.00000;0.00000;0.48000
2013;1;3;3;30;-5.30000;95.00000;0.00000;0.48000
2013;1;3;4;0;-5.30000;95.00000;0.00000;0.48000
2013;1;3;4;30;-5.20000;95.00000;0.00000;0.48000
2013;1;3;5;0;-5.30000;95.00000;0.00000;0.48000
2013;1;3;5;30;-5.30000;95.00000;0.00000;0.48000
2013;1;3;6;0;-5.30000;95.00000;0.00000;0.48000
2013;1;3;6;30;-5.40000;95.00000;0.00000;0.48000
2013;1;3;7;0;-5.40000;95.00000;0.00000;0.48000
2013;1;3;7;30;-5.50000;95.00000;0.00000;0.48000
2013;1;3;8;0;-5.50000;95.00000;0.00000;0.48000
2013;1;3;8;30;-5.50000;95.00000;0.00000;0.48000
2013;1;3;9;0;-5.40000;95.00000;0.00000;0.48000
2013;1;3;9;30;-5.40000;95.00000;0.00000;0.48000
2013;1;3;10;0;-5.30000;95.00000;0.00000;0.48000
2013;1;3;10;30;-5.40000;95.00000;0.00000;0.48000
2013;1;3;11;0;-5.40000;95.00000;0.00000;0.48000
2013;1;3;11;30;-5.40000;95.00000;0.00000;0.48000
2013;1;3;12;0;-5.30000;95.00000;0.00000;0.48000
2013;1;3;12;30;-5.30000;94.00000;0.00000;0.48000
2013;1;3;13;0;-5.40000;94.00000;0.00000;0.48000
2013;1;3;13;30;-5.40000;94.00000;0.00000;0.48000
2013;1;3;14;0;-5.40000;94.00000;0.00000;0.48000
2013;1;3;14;30;-5.40000;94.00000;0.00000;0.48000
2013;1;3;15;0;-5.50000;94.00000;0.00000;0.48000
2013;1;3;15;30;-5.60000;95.00000;0.00000;0.48000
2013;1;3;16;0;-5.60000;95.00000;0.00000;0.48000
2013;1;3;16;30;-5.70000;95.00000;0.00000;0.54000
2013;1;3;17;0;-5.70000;95.00000;0.00000;0.54000
2013;1;3;17;30;-5.80000;95.00000;0.00000;0.53000
2013;1;3;18;0;-5.90000;95.00000;0.00000;0.53000
2013;1;3;18;30;-5.90000;95.00000;0.00000;0.53000
2013;1;3;19;0;-6.00000;95.00000;0.00000;0.53000
2013;1;3;19;30;-6.10000;95.00000;0.00000;0.52000
2013;1;3;20;0;-6.10000;94.00000;0.00000;0.52000
2013;1;3;20;30;-6.20000;95.00000;0.00000;0.52000
2013;1;3;21;0;-6.30000;94.00000;0.00000;0.52000
2013;1;3;21;30;-6.40000;94.00000;0.00000;0.52000
2013;1;3;22;0;-6.40000;94.00000;0.00000;0.52000
2013;1;3;22;30;-6.50000;94.00000;0.00000;0.52000
2013;1;3;23;0;-6.60000;92.00000;0.00000;0.52000
2013;1;3;23;30;-6.80000;93.00000;0.00000;0.52000
2013;1;4;0;0;-6.90000;93.00000;0.00000;0.52000
2013;1;4;0;30;-7.00000;93.00000;0.00000;0.52000
2013;1;4;1;0;-7.00000;93.00000;0.00000;0.52000
2013;1;4;1;30;-7.00000;94.00000;0.00000;0.52000
2013;1;4;2;0;-7.00000;94.00000;0.00000;0.52000
2013;1;4;2;30;-7.10000;93.00000;0.00000;0.52000
2013;1;4;3;0;-7.10000;93.00000;0.00000;0.52000
2013;1;4;3;30;-7.10000;93.00000;0.00000;0.52000
2013;1;4;4;0;-7.10000;93.00000;0.00000;0.52000
2013;1;4;4;30;-7.10000;93.00000;0.00000;0.52000
2013;1;4;5;0;-7.10000;93.00000;0.00000;0.52000
2013;1;4;5;30;-7.10000;94.00000;0.00000;0.52000
2013;1;4;6;0;-7.10000;94.00000;0.00000;0.52000
2013;1;4;6;30;-7.10000;94.00000;0.00000;0.52000
2013;1;4;7;0;-7.00000;94.00000;0.00000;0.52000
2013;1;4;7;30;-7.00000;94.00000;0.00000;0.52000
2013;1;4;8;0;-7.20000;94.00000;0.00000;0.52000
2013;1;4;8;30;-7.40000;94.00000;0.00000;0.52000
2013;1;4;9;0;-7.70000;94.00000;0.00000;0.52000
2013;1;4;9;30;-8.20000;94.00000;0.00000;0.52000
2013;1;4;10;0;-8.30000;94.00000;0.00000;0.52000
2013;1;4;10;30;-8.30000;94.00000;0.00000;0.52000
2013;1;4;11;0;-8.20000;94.00000;0.00000;0.52000
2013;1;4;11;30;-8.40000;94.00000;0.00000;0.52000
2013;1;4;12;0;-8.60000;94.00000;0.00000;0.52000
2013;1;4;12;30;-8.60000;93.00000;0.00000;0.52000
2013;1;4;13;0;-8.30000;93.00000;0.00000;0.52000
2013;1;4;13;30;-8.30000;93.00000;0.00000;0.52000
2013;1;4;14;0;-8.10000;93.00000;0.00000;0.52000
2013;1;4;14;30;-8.30000;93.00000;0.00000;0.52000
2013;1;4;15;0;-8.40000;93.00000;0.00000;0.52000
2013;1;4;15;30;-8.50000;92.00000;0.00000;0.52000
2013;1;4;16;0;-8.80000;92.00000;0.00000;0.51000
2013;1;4;16;30;-8.90000;92.00000;0.00000;0.52000
2013;1;4;17;0;-8.90000;92.00000;0.00000;0.51000
2013;1;4;17;30;-9.00000;92.00000;0.00000;0.51000
2013;1;4;18;0;-8.90000;93.00000;0.00000;0.51000
2013;1;4;18;30;-8.80000;92.00000;0.00000;0.51000
2013;1;4;19;0;-8.40000;92.00000;0.00000;0.51000
2013;1;4;19;30;-8.30000;92.00000;0.00000;0.52000
2013;1;4;20;0;-8.40000;92.00000;0.00000;0.52000
2013;1;4;20;30;-8.60000;92.00000;0.00000;0.52000
2013;1;4;21;0;-8.80000;91.00000;0.00000;0.52000
2013;1;4;21;30;-9.00000;91.00000;0.00000;0.52000
2013;1;4;22;0;-8.90000;92.00000;0.00000;0.52000
2013;1;4;22;30;-8.60000;92.00000;0.00000;0.52000
2013;1;4;23;0;-8.90000;91.00000;0.00000;0.52000
2013;1;4;23;30;-9.40000;92.00000;0.00000;0.52000
2013;1;5;0;0;-9.40000;92.00000;0.00000;0.52000
2013;1;5;0;30;-8.80000;92.00000;0.00000;0.52000
2013;1;5;1;0;-8.30000;93.00000;0.00000;0.52000
2013;1;5;1;30;-7.70000;94.00000;0.00000;0.52000
2013;1;5;2;0;-7.30000;94.00000;0.00000;0.52000
2013;1;5;2;30;-7.00000;94.00000;0.00000;0.52000
2013;1;5;3;0;-6.70000;95.00000;0.00000;0.52000
2013;1;5;3;30;-6.80000;94.00000;0.00000;0.52000
2013;1;5;4;0;-6.80000;94.00000;0.00000;0.51000
2013;1;5;4;30;-6.70000;95.00000;0.00000;0.52000
2013;1;5;5;0;-6.40000;95.00000;0.00000;0.52000
2013;1;5;5;30;-6.60000;94.00000;0.00000;0.51000
2013;1;5;6;0;-6.60000;94.00000;0.00000;0.52000
2013;1;5;6;30;-6.30000;95.00000;0.00000;0.51000
2013;1;5;7;0;-5.40000;95.00000;0.00000;0.52000
2013;1;5;7;30;-5.30000;95.00000;0.00000;0.52000
2013;1;5;8;0;-5.30000;95.00000;0.00000;0.52000
2013;1;5;8;30;-4.90000;95.00000;0.00000;0.52000
2013;1;5;9;0;-4.70000;95.00000;0.00000;0.52000
2013;1;5;9;30;-4.30000;95.00000;0.00000;0.52000
2013;1;5;10;0;-4.10000;95.00000;0.00000;0.51000
2013;1;5;10;30;-4.00000;95.00000;0.00000;0.51000
2013;1;5;11;0;-4.00000;95.00000;0.00000;0.51000
2013;1;5;11;30;-4.10000;95.00000;0.00000;0.51000
2013;1;5;12;0;-4.60000;94.00000;0.00000;0.51000
2013;1;5;12;30;-5.30000;94.00000;0.00000;0.51000
2013;1;5;13;0;-5.90000;94.00000;0.00000;0.51000
2013;1;5;13;30;-6.40000;94.00000;0.00000;0.51000
2013;1;5;14;0;-6.70000;94.00000;0.00000;0.51000
2013;1;5;14;30;-6.60000;94.00000;0.00000;0.51000
2013;1;5;15;0;-6.10000;95.00000;0.00000;0.51000
2013;1;5;15;30;-5.20000;94.00000;0.00000;0.51000
2013;1;5;16;0;-4.90000;95.00000;0.00000;0.51000
2013;1;5;16;30;-4.90000;95.00000;0.00000;0.51000
2013;1;5;17;0;-4.70000;95.00000;0.00000;0.51000
2013;1;5;17;30;-4.60000;95.00000;0.00000;0.51000
2013;1;5;18;0;-4.50000;95.00000;0.00000;0.51000
2013;1;5;18;30;-4.40000;95.00000;0.00000;0.51000
2013;1;5;19;0;-4.40000;95.00000;0.00000;0.51000
2013;1;5;19;30;-4.40000;95.00000;0.00000;0.51000
2013;1;5;20;0;-4.40000;95.00000;0.00000;0.51000
2013;1;5;20;30;-4.40000;96.00000;0.00000;0.51000
2013;1;5;21;0;-4.40000;96.00000;0.00000;0.51000
2013;1;5;21;30;-4.40000;96.00000;0.00000;0.51000
2013;1;5;22;0;-4.20000;96.00000;0.00000;0.51000
2013;1;5;22;30;-4.30000;96.00000;0.00000;0.50000
2013;1;5;23;0;-4.60000;95.00000;0.00000;0.50000
