z;small_spruce;large_spruce;total
0.0;0.0;0.0;0.0
0.25;0.34712779119877873;0.04061299218309581;0.19387039169093723
0.5;0.4481562188045554;0.020306496091547905;0.2342313574480516
0.75;0.549184646410332;0.0;0.27459232320516597
1.0;0.47919712618751403;0.02286275280269488;0.2510299394951044
1.25;0.409209605964696;0.04572550560538976;0.22746755578504282
1.5;0.38228365554060895;0.09387760290379864;0.23808062922220374
1.75;0.35535770511652187;0.14202970020220754;0.24869370265936463
2.0;0.32036810165402874;0.20919627260269885;0.2647821871283637
2.25;0.28537849819153566;0.2763628450031902;0.28087067159736284
2.5;0.1894709059232036;0.2676938003342473;0.22858235312872538
2.75;0.09356331365487153;0.2590247556653044;0.17629403466008794
3.0;0.07026185045891527;0.23294352739348392;0.15160268892619957
3.25;0.046960387262958994;0.2068622991216634;0.12691134319231118
3.5;0.023480193631479497;0.28377228477402355;0.1536262392027515
3.75;0.0;0.3606822704263837;0.1803411352131918
4.0;0.0;0.4232086811325881;0.21160434056629399
4.25;0.0;0.48573509183879254;0.24286754591939622
4.5;0.0;0.2711067735481325;0.13555338677406623
4.75;0.0;0.056478455257472485;0.028239227628736235
5.0;0.0;0.05446401382453645;0.02723200691226822
5.25;0.0;0.05244957239160041;0.0262247861958002
5.5;0.0;0.08235129309624936;0.041175646548124674
5.75;0.0;0.1122530138008983;0.05612650690044914
6.0;0.0;0.0;0.0
6.25;0.0;0.0;0.0
6.5;0.0;0.0;0.0
6.75;0.0;0.0;0.0
7.0;0.0;0.0;0.0
7.25;0.0;0.0;0.0
7.5;0.0;0.0;0.0
7.75;0.0;0.0;0.0
8.0;0.0;0.0;0.0
8.25;0.0;0.0;0.0
8.5;0.0;0.0;0.0
8.75;0.0;0.0;0.0
9.0;0.0;0.0;0.0
9.25;0.0;0.0;0.0
9.5;0.0;0.0;0.0
9.75;0.0;0.0;0.0
10.0;0.0;0.0;0.0
10.25;0.0;0.0;0.0
10.5;0.0;0.0;0.0
10.75;0.0;0.0;0.0
11.0;0.0;0.0;0.0
